DIVISION   |   DATA   |   HOME TEAM   |   AWAY TEAM   |   HT GOALS   |   AT AWAY   |   FT RESULT
Div   Invalid date   HomeTeam   AwayTeam   FTHG   FTAG   FTR
E0   2013-09-16   Swansea   Liverpool   2   2   D
E0   2013-09-21   Chelsea   Fulham   2   0   H
E0   2013-09-21   Liverpool   Southampton   0   1   A
E0   2013-09-21   Newcastle   Hull   2   3   A
E0   2013-09-21   Norwich   Aston Villa   0   1   A
E0   2013-09-21   West Brom   Sunderland   3   0   H
E0   2013-09-21   West Ham   Everton   2   3   A
E0   2013-09-22   Arsenal   Stoke   3   1   H
E0   2013-09-22   Cardiff   Tottenham   0   1   A
E0   2013-09-22   Crystal Palace   Swansea   0   2   A
E0   2011-09-17   Aston Villa   Newcastle   1   1   D
E0   2011-09-17   Blackburn   Arsenal   4   3   H
E0   2011-09-17   Bolton   Norwich   1   2   A
E0   2011-09-17   Everton   Wigan   3   1   H
E0   2011-09-17   Swansea   West Brom   3   0   H
E0   2011-09-17   Wolves   QPR   0   3   A
E0   2011-09-18   Fulham   Man City   2   2   D
E0   2011-09-18   Man United   Chelsea   3   1   H
E0   2011-09-18   Sunderland   Stoke   4   0   H
E0   2011-09-18   Tottenham   Liverpool   4   0   H
E0   2011-09-24   Arsenal   Bolton   3   0   H
E0   2011-09-24   Chelsea   Swansea   4   1   H
E0   2011-09-24   Liverpool   Wolves   2   1   H
E0   2011-09-24   Man City   Everton   2   0   H
E0   2011-09-24   Newcastle   Blackburn   3   1   H
E0   2011-09-24   Stoke   Man United   1   1   D
E0   2011-09-24   West Brom   Fulham   0   0   D
E0   2011-09-24   Wigan   Tottenham   1   2   A
E0   2011-09-25   QPR   Aston Villa   1   1   D
E0   2011-09-26   Norwich   Sunderland   2   1   H
E0   2011-10-01   Aston Villa   Wigan   2   0   H
E0   2011-10-01   Blackburn   Man City   0   4   A
E0   2011-10-01   Everton   Liverpool   0   2   A
E0   2011-10-01   Man United   Norwich   2   0   H
E0   2011-10-01   Sunderland   West Brom   2   2   D
E0   2011-10-01   Wolves   Newcastle   1   2   A
E0   2011-10-02   Bolton   Chelsea   1   5   A
E0   2011-10-02   Fulham   QPR   6   0   H
E0   2011-10-02   Swansea   Stoke   2   0   H
E0   2011-10-02   Tottenham   Arsenal   2   1   H
E0   2011-10-15   Chelsea   Everton   3   1   H
E0   2010-09-18   Sunderland   Arsenal   1   1   D
E0   2010-09-18   Tottenham   Wolves   3   1   H
E0   2010-09-18   West Brom   Birmingham   3   1   H
E0   2010-09-19   Chelsea   Blackpool   4   0   H
E0   2010-09-19   Man United   Liverpool   3   2   H
E0   2010-09-19   Wigan   Man City   0   2   A
E0   2010-09-25   Arsenal   West Brom   2   3   A
E0   2010-09-25   Birmingham   Wigan   0   0   D
E0   2010-09-25   Blackpool   Blackburn   1   2   A
E0   2010-09-25   Fulham   Everton   0   0   D
E0   2010-09-25   Liverpool   Sunderland   2   2   D
E0   2010-09-25   Man City   Chelsea   1   0   H
E0   2010-09-25   West Ham   Tottenham   1   0   H
E0   2010-09-26   Bolton   Man United   2   2   D
E0   2010-09-26   Newcastle   Stoke   1   2   A
E0   2010-09-26   Wolves   Aston Villa   1   2   A
E0   2010-10-02   Birmingham   Everton   0   2   A
E0   2010-10-02   Stoke   Blackburn   1   0   H
E0   2010-10-02   Sunderland   Man United   0   0   D
E0   2010-10-02   Tottenham   Aston Villa   2   1   H
E0   2010-10-02   West Brom   Bolton   1   1   D
E0   2010-10-02   West Ham   Fulham   1   1   D
E0   2010-10-02   Wigan   Wolves   2   0   H
E0   2010-10-03   Chelsea   Arsenal   2   0   H
E0   2010-10-03   Liverpool   Blackpool   1   2   A
E0   2010-10-03   Man City   Newcastle   2   1   H
E0   2010-10-16   Arsenal   Birmingham   2   1   H
E0   2010-10-16   Aston Villa   Chelsea   0   0   D
E0   2010-10-16   Bolton   Stoke   2   1   H
E0   2010-10-16   Fulham   Tottenham   1   2   A
E0   2010-10-16   Man United   West Brom   2   2   D
E0   2010-10-16   Newcastle   Wigan   2   2   D
E0   2009-09-13   Fulham   Everton   2   1   H
E0   2009-09-19   Arsenal   Wigan   4   0   H
E0   2009-09-19   Aston Villa   Portsmouth   2   0   H
E0   2009-09-19   Bolton   Stoke   1   1   D
E0   2009-09-19   Burnley   Sunderland   3   1   H
E0   2009-09-19   Hull   Birmingham   0   1   A
E0   2009-09-19   West Ham   Liverpool   2   3   A
E0   2009-09-20   Chelsea   Tottenham   3   0   H
E0   2009-09-20   Everton   Blackburn   3   0   H
E0   2009-09-20   Man United   Man City   4   3   H
E0   2009-09-20   Wolves   Fulham   2   1   H
E0   2009-09-26   Birmingham   Bolton   1   2   A
E0   2009-09-26   Blackburn   Aston Villa   2   1   H
E0   2009-09-26   Fulham   Arsenal   0   1   A
E0   2009-09-26   Liverpool   Hull   6   1   H
E0   2009-09-26   Portsmouth   Everton   0   1   A
E0   2009-09-26   Stoke   Man United   0   2   A
E0   2009-09-26   Tottenham   Burnley   5   0   H
E0   2009-09-26   Wigan   Chelsea   3   1   H
E0   2009-09-27   Sunderland   Wolves   5   2   H
E0   2009-09-28   Man City   West Ham   3   1   H
E0   2009-10-03   Bolton   Tottenham   2   2   D
E0   2009-10-03   Burnley   Birmingham   2   1   H
E0   2009-10-03   Hull   Wigan   2   1   H
E0   2009-10-03   Man United   Sunderland   2   2   D
E0   2009-10-03   Wolves   Portsmouth   0   1   A
E0   2009-10-04   Arsenal   Blackburn   6   2   H
E0   2009-10-04   Chelsea   Liverpool   2   0   H
E0   2009-10-04   Everton   Stoke   1   1   D
E0   2009-10-04   West Ham   Fulham   2   2   D
E0   2009-10-05   Aston Villa   Man City   1   1   D
E0   2011-10-15   Liverpool   Man United   1   1   D
E0   2011-10-15   Man City   Aston Villa   4   1   H
E0   2011-10-15   Norwich   Swansea   3   1   H
E0   2011-10-15   QPR   Blackburn   1   1   D
E0   2011-10-15   Stoke   Fulham   2   0   H
E0   2011-10-15   Wigan   Bolton   1   3   A
E0   2011-10-16   Arsenal   Sunderland   2   1   H
E0   2011-10-16   Newcastle   Tottenham   2   2   D
E0   2011-10-16   West Brom   Wolves   2   0   H
E0   2011-10-22   Aston Villa   West Brom   1   2   A
E0   2011-10-22   Bolton   Sunderland   0   2   A
E0   2011-10-22   Liverpool   Norwich   1   1   D
E0   2011-10-22   Newcastle   Wigan   1   0   H
E0   2011-10-22   Wolves   Swansea   2   2   D
E0   2011-10-23   Arsenal   Stoke   3   1   H
E0   2011-10-23   Blackburn   Tottenham   1   2   A
E0   2012-09-23   Liverpool   Man United   1   2   A
E0   2012-09-23   Man City   Arsenal   1   1   D
E0   2012-09-23   Newcastle   Norwich   1   0   H
E0   2012-09-23   Tottenham   QPR   2   1   H
E0   2012-09-29   Arsenal   Chelsea   1   2   A
E0   2012-09-29   Everton   Southampton   3   1   H
E0   2012-09-29   Fulham   Man City   1   2   A
E0   2012-09-29   Man United   Tottenham   2   3   A
E0   2012-09-29   Norwich   Liverpool   2   5   A
E0   2012-09-29   Reading   Newcastle   2   2   D
E0   2012-09-29   Stoke   Swansea   2   0   H
E0   2012-09-29   Sunderland   Wigan   1   0   H
E0   2012-09-30   Aston Villa   West Brom   1   1   D
E0   2012-10-01   QPR   West Ham   1   2   A
E0   2012-10-06   Chelsea   Norwich   4   1   H
E0   2012-10-06   Man City   Sunderland   3   0   H
E0   2012-10-06   Swansea   Reading   2   2   D
E0   2012-10-06   West Brom   QPR   3   2   H
E0   2012-10-06   West Ham   Arsenal   1   3   A
E0   2012-10-06   Wigan   Everton   2   2   D
E0   2012-10-07   Liverpool   Stoke   0   0   D
E0   2012-10-07   Newcastle   Man United   0   3   A
E0   2012-10-07   Southampton   Fulham   2   2   D
E0   2012-10-07   Tottenham   Aston Villa   2   0   H
E0   2012-10-20   Fulham   Aston Villa   1   0   H
E0   2012-10-20   Liverpool   Reading   1   0   H
E0   2012-10-20   Man United   Stoke   4   2   H
E0   2013-09-22   Man City   Man United   4   1   H
E0   2013-09-28   Aston Villa   Man City   3   2   H
E0   2013-09-28   Fulham   Cardiff   1   2   A
E0   2013-09-28   Hull   West Ham   1   0   H
E0   2013-09-28   Man United   West Brom   1   2   A
E0   2013-09-28   Southampton   Crystal Palace   2   0   H
E0   2013-09-28   Swansea   Arsenal   1   2   A
E0   2013-09-28   Tottenham   Chelsea   1   1   D
E0   2013-09-29   Stoke   Norwich   0   1   A
E0   2013-09-29   Sunderland   Liverpool   1   3   A
E0   2013-09-30   Everton   Newcastle   3   2   H
E0   2013-10-05   Cardiff   Newcastle   1   2   A
E0   2013-10-05   Fulham   Stoke   1   0   H
E0   2013-10-05   Hull   Aston Villa   0   0   D
E0   2013-10-05   Liverpool   Crystal Palace   3   1   H
E0   2013-10-05   Man City   Everton   3   1   H
E0   2013-10-05   Sunderland   Man United   1   2   A
E0   2013-10-06   Norwich   Chelsea   1   3   A
E0   2013-10-06   Southampton   Swansea   2   0   H
E0   2013-10-06   Tottenham   West Ham   0   3   A
E0   2013-10-06   West Brom   Arsenal   1   1   D
E0   2013-10-19   Arsenal   Norwich   4   1   H
E0   2013-10-19   Chelsea   Cardiff   4   1   H
E0   2013-10-19   Everton   Hull   2   1   H
E0   2013-10-19   Man United   Southampton   1   1   D
E0   2013-10-19   Newcastle   Liverpool   2   2   D
E0   2013-10-19   Stoke   West Brom   0   0   D
E0   2013-10-19   Swansea   Sunderland   4   0   H
E0   2011-10-23   Fulham   Everton   1   3   A
E0   2011-10-23   Man United   Man City   1   6   A
E0   2011-10-23   QPR   Chelsea   1   0   H
E0   2011-10-29   Chelsea   Arsenal   3   5   A
E0   2011-10-29   Everton   Man United   0   1   A
E0   2011-10-29   Man City   Wolves   3   1   H
E0   2011-10-29   Norwich   Blackburn   3   3   D
E0   2011-10-29   Sunderland   Aston Villa   2   2   D
E0   2011-10-29   Swansea   Bolton   3   1   H
E0   2011-10-29   West Brom   Liverpool   0   2   A
E0   2011-10-29   Wigan   Fulham   0   2   A
E0   2011-10-30   Tottenham   QPR   3   1   H
E0   2011-10-31   Stoke   Newcastle   1   3   A
E0   2011-11-05   Arsenal   West Brom   3   0   H
E0   2011-11-05   Aston Villa   Norwich   3   2   H
E0   2011-11-05   Blackburn   Chelsea   0   1   A
E0   2011-11-05   Liverpool   Swansea   0   0   D
E0   2011-11-05   Man United   Sunderland   1   0   H
E0   2011-11-05   Newcastle   Everton   2   1   H
E0   2011-11-05   QPR   Man City   2   3   A
E0   2011-11-06   Bolton   Stoke   5   0   H
E0   2011-11-06   Fulham   Tottenham   1   3   A
E0   2011-11-06   Wolves   Wigan   3   1   H
E0   2011-11-19   Everton   Wolves   2   1   H
E0   2011-11-19   Man City   Newcastle   3   1   H
E0   2011-11-19   Norwich   Arsenal   1   2   A
E0   2011-11-19   Stoke   QPR   2   3   A
E0   2011-11-19   Sunderland   Fulham   0   0   D
E0   2011-11-19   Swansea   Man United   0   1   A
E0   2011-11-19   West Brom   Bolton   2   1   H
E0   2011-11-19   Wigan   Blackburn   3   3   D
E0   2011-11-20   Chelsea   Liverpool   1   2   A
E0   2010-10-16   Wolves   West Ham   1   1   D
E0   2010-10-17   Blackpool   Man City   2   3   A
E0   2010-10-17   Everton   Liverpool   2   0   H
E0   2010-10-18   Blackburn   Sunderland   0   0   D
E0   2010-10-23   Birmingham   Blackpool   2   0   H
E0   2010-10-23   Chelsea   Wolves   2   0   H
E0   2010-10-23   Sunderland   Aston Villa   1   0   H
E0   2010-10-23   Tottenham   Everton   1   1   D
E0   2010-10-23   West Brom   Fulham   2   1   H
E0   2010-10-23   West Ham   Newcastle   1   2   A
E0   2010-10-23   Wigan   Bolton   1   1   D
E0   2010-10-24   Liverpool   Blackburn   2   1   H
E0   2010-10-24   Man City   Arsenal   0   3   A
E0   2010-10-24   Stoke   Man United   1   2   A
E0   2010-10-30   Arsenal   West Ham   1   0   H
E0   2010-10-30   Blackburn   Chelsea   1   2   A
E0   2010-10-30   Everton   Stoke   1   0   H
E0   2010-10-30   Fulham   Wigan   2   0   H
E0   2010-10-30   Man United   Tottenham   2   0   H
E0   2010-10-30   Wolves   Man City   2   1   H
E0   2010-10-31   Aston Villa   Birmingham   0   0   D
E0   2010-10-31   Bolton   Liverpool   0   1   A
E0   2010-10-31   Newcastle   Sunderland   5   1   H
E0   2010-11-01   Blackpool   West Brom   2   1   H
E0   2010-11-06   Birmingham   West Ham   2   2   D
E0   2010-11-06   Blackburn   Wigan   2   1   H
E0   2010-11-06   Blackpool   Everton   2   2   D
E0   2010-11-06   Bolton   Tottenham   4   2   H
E0   2010-11-06   Fulham   Aston Villa   1   1   D
E0   2010-11-06   Man United   Wolves   2   1   H
E0   2010-11-06   Sunderland   Stoke   2   0   H
E0   2010-11-07   Arsenal   Newcastle   0   1   A
E0   2010-11-07   Liverpool   Chelsea   2   0   H
E0   2010-11-07   West Brom   Man City   0   2   A
E0   2010-11-09   Stoke   Birmingham   3   2   H
E0   2010-11-09   Tottenham   Sunderland   1   1   D
E0   2010-11-10   Aston Villa   Blackpool   3   2   H
E0   2010-11-10   Chelsea   Fulham   1   0   H
E0   2010-11-10   Everton   Bolton   1   1   D
E0   2010-11-10   Man City   Man United   0   0   D
E0   2010-11-10   Newcastle   Blackburn   1   2   A
E0   2010-11-10   West Ham   West Brom   2   2   D
E0   2009-10-17   Arsenal   Birmingham   3   1   H
E0   2009-10-17   Aston Villa   Chelsea   2   1   H
E0   2009-10-17   Everton   Wolves   1   1   D
E0   2009-10-17   Man United   Bolton   2   1   H
E0   2009-10-17   Portsmouth   Tottenham   1   2   A
E0   2009-10-17   Stoke   West Ham   2   1   H
E0   2009-10-17   Sunderland   Liverpool   1   0   H
E0   2009-10-18   Blackburn   Burnley   3   2   H
E0   2009-10-18   Wigan   Man City   1   1   D
E0   2009-10-19   Fulham   Hull   2   0   H
E0   2009-10-24   Birmingham   Sunderland   2   1   H
E0   2009-10-24   Burnley   Wigan   1   3   A
E0   2009-10-24   Chelsea   Blackburn   5   0   H
E0   2009-10-24   Hull   Portsmouth   0   0   D
E0   2009-10-24   Tottenham   Stoke   0   1   A
E0   2009-10-24   Wolves   Aston Villa   1   1   D
E0   2009-10-25   Bolton   Everton   3   2   H
E0   2009-10-25   Liverpool   Man United   2   0   H
E0   2009-10-25   Man City   Fulham   2   2   D
E0   2009-10-25   West Ham   Arsenal   2   2   D
E0   2009-10-31   Arsenal   Tottenham   3   0   H
E0   2011-11-21   Tottenham   Aston Villa   2   0   H
E0   2011-11-26   Arsenal   Fulham   1   1   D
E0   2011-11-26   Bolton   Everton   0   2   A
E0   2011-11-26   Chelsea   Wolves   3   0   H
E0   2011-11-26   Man United   Newcastle   1   1   D
E0   2011-11-26   Norwich   QPR   2   1   H
E0   2011-11-26   Stoke   Blackburn   3   1   H
E0   2011-11-26   Sunderland   Wigan   1   2   A
E0   2011-11-26   West Brom   Tottenham   1   3   A
E0   2011-11-27   Liverpool   Man City   1   1   D
E0   2011-11-27   Swansea   Aston Villa   0   0   D
E0   2011-12-03   Aston Villa   Man United   0   1   A
E0   2011-12-03   Blackburn   Swansea   4   2   H
E0   2011-12-03   Man City   Norwich   5   1   H
E0   2011-12-03   Newcastle   Chelsea   0   3   A
E0   2011-12-03   QPR   West Brom   1   1   D
E0   2011-12-03   Tottenham   Bolton   3   0   H
E0   2011-12-03   Wigan   Arsenal   0   4   A
